location_name,ticket_type,price,morning_pickuptime,afternoon_pickuptime
Turtle Lake,WEEKLY,4500000,06:00:00,16:30:00
Turtle Lake,DAILY,8500000,06:45:00,16:30:00
Hang Xanh,WEEKLY,6700000,06:10:00,16:30:00
Hang Xanh,DAILY,8000000,06:55:00,16:30:00
Binh Trieu,WEEKLY,3800000,06:25:00,16:30:00
Binh Trieu,DAILY,7100000,07:05:00,16:30:00
Binh Phuoc Crossroads,WEEKLY,3600000,06:50:00,16:30:00
Binh Phuoc Crossroads,DAILY,6700000,07:15:00,16:30:00
Binh Duong Aeon Mall,WEEKLY,2500000,07:05:00,16:30:00
Binh Duong Aeon Mall,DAILY,4700000,07:35:00,16:30:00
Becamex Tower,WEEKLY,1900000,07:20:00,16:30:00
Becamex Tower,DAILY,3600000,07:50:00,16:30:00